"rank","team","conference","eval","eval_strength","eval_resume","estimate_spread","std.error_spread","statistic_spread","p.value_spread","percentile_spread","scale_spread","division_i","estimate_possessions","std.error_possessions","statistic_possessions","p.value_possessions","percentile_possessions","scale_possessions","estimate_wins","std.error_wins","statistic_wins","p.value_wins","percentile_wins","scale_wins","estimate_bt","std.error_bt","statistic_bt","p.value_bt","percentile_bt","scale_bt","logo","background"
29,"Virginia Tech","ACC",70.8666589379479,58.7364157752896,82.9969021006062,11.2731963367278,2.76137873027561,4.0824520784234,4.51643585982912e-05,0.999977718498477,0.585307126091752,1,4.10831862317425,0.959005304533667,4.28393732938942,1.86593780707456e-05,0.999990819267373,0.58942118941404,7.77718335299129,5.26511451593111,1.47711570744743,0.139644623742889,0.930177688128556,0.832749143378636,2.8621153756604,1.1629890670745,2.46099938227283,0.0138550604626915,0.993072469768654,0.827188898633487,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Virginia Tech.png","#861F41"
30,"Saint Mary's","WCC",70.5724624614102,67.4827062795349,73.6622186432855,17.2443928844902,2.71848228312185,6.3433898361431,2.41822478359298e-10,0.999999999887618,0.676018160086954,1,6.02872247668426,0.944107702870024,6.38563000636193,1.84000730250973e-10,0.999999999914653,0.673635965503743,4.23262757540281,4.09543869226816,1.03349797016707,0.301370919945943,0.849314540027028,0.678466848214403,2.60984053668814,1.08871663447185,2.39717154496698,0.0165221864813355,0.991738906759332,0.794777524651307,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Saint Mary's.png","#C92A2F"
31,"Butler","Big East",70.5553510564204,67.2181721844114,73.8925299284293,17.0840733880672,2.71545983626467,6.29141081739131,3.37689594888172e-10,0.999999999842703,0.673582677152538,1,5.96361353315462,0.943058030640378,6.323697311718,2.74517999440385e-10,0.999999999872311,0.670780766535691,5.79830090699803,4.173787875931,1.38921791891608,0.164766494457579,0.917616752771211,0.746615211573008,2.11525852501948,0.970484273243095,2.17959072943126,0.0292878126055851,0.985356093697207,0.731235386995579,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Butler.png","#182949"
32,"UC San Diego","Big West",69.6764464698183,60.44310999006,78.9097829495767,12.3619110936133,2.73463067459615,4.52050480105104,6.29232864489755e-06,0.999996915382705,0.601846263688877,1,4.50954297987054,0.949715913331612,4.74830727438379,2.1007708529709e-06,0.999998974368867,0.607015936112322,5.59586149592635,4.06435884593783,1.37681285241809,0.168570116184395,0.915714941907803,0.737803721803454,2.96488159677573,1.08832367965314,2.72426452920758,0.00644448664622531,0.996777756676887,0.840391937188079,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/UC San Diego.png","#00629B"
33,"Kansas State","Big 12",69.385911736393,61.6725125919154,77.0993108808706,13.723531812478,2.53268715400483,5.41856572801643,6.25100997128176e-08,0.999999969960474,0.622531234000865,1,4.59854746974181,0.879582503039156,5.22810248481841,1.77277867127614e-07,0.999999914370711,0.610919017837443,6.19737759209927,3.14399476499032,1.97117936108216,0.0487033637688957,0.975648318115552,0.76398564408623,2.47925666682191,0.819983686500044,3.02354389195739,0.00249832785073529,0.998750836074632,0.778000573531183,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Kansas State.png","#2E0D53"
34,"Auburn","SEC",69.2893833036844,68.790508137696,69.7882584696728,18.0208287496253,2.38205516529049,7.5652440851124,4.47842854652419e-14,0.999999999999981,0.687813333733307,1,6.35620250950122,0.827269187728332,7.68335458855327,1.80920133105282e-14,0.999999999999992,0.687996829020613,4.2221968809694,2.3132935184153,1.82518856658613,0.0679725785684875,0.966013710715756,0.678012836039586,2.01031279861533,0.748952647837594,2.68416542009643,0.00727111201879592,0.996364443990602,0.71775233335387,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Auburn.png","#0D234A"
35,"LSU","SEC",69.0192938360147,70.4988795659908,67.5397081060386,19.362346765241,2.96631280248038,6.5274123312452,7.26183997749268e-11,0.999999999966542,0.708192915170011,1,6.67061568006292,1.03017731008629,6.47521122310895,1.02489415255245e-10,0.99999999995266,0.701784676149805,3.37373218123613,4.15778789972114,0.811424791885706,0.41712176662112,0.79143911668944,0.641082092258277,1.94773118209095,1.11827808218909,1.74172347031802,0.0815568435763646,0.959221578211818,0.709712069862495,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/LSU.png","#461D7C"
36,"Saint Louis","Atlantic 10",68.8564177893531,68.6984517553698,69.0143838233364,17.6615269655546,2.95533894697379,5.97614259563683,2.42126301075846e-09,0.999999998857585,0.682355024650919,1,6.43868743068508,1.02636617562414,6.27328489929016,3.79161861148984e-10,0.999999999823245,0.691614010456476,3.9260937429869,4.47072979325281,0.878177372497916,0.379847469504245,0.810076265247877,0.665124487089876,1.99016012380935,1.11312068184555,1.78791047212389,0.0737904530934256,0.963104773453287,0.715163189376853,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Saint Louis.png","#163C9F"
37,"McNeese","Southland",68.6354856494193,65.0574518739802,72.2135194248583,15.4355411605799,2.94402300366167,5.24300969842347,1.63593207710323e-07,0.999999921010884,0.648539109798215,1,5.54925217547384,1.02243623673414,5.42747995043609,5.94830758534582e-08,0.999999971422358,0.652609927681388,5.0933157076009,3.24506642870278,1.56955668535789,0.11651828213287,0.941740858933565,0.715929635877595,2.09272805711978,0.934051271185665,2.24048520855104,0.0250594399881654,0.987470280005917,0.728340752619572,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/McNeese.png","#F8D448"
38,"Miami","ACC",68.4445296145503,73.9450683146573,62.9439909144434,21.7662782968897,2.74207904362154,7.93787412785239,2.45230844618094e-15,0.999999999999999,0.74471208065808,1,7.4095588895146,0.952302673824535,7.78067634710835,8.48766407361404e-15,0.999999999999996,0.734189285635065,2.88519438923585,3.02962169451816,0.952328270706657,0.340930524555963,0.829534737722018,0.619817726127875,1.39782509795396,0.84737877562054,1.64958710103439,0.0990274150018131,0.950486292499093,0.639062092160992,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Miami.png","#204F33"
